name,Year,EW,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nairobi,2021,2,1/6/2021,27,15.8,20.9,26.5,15.8,20.8,13.2,65.15,0,,0,,,,,28.3,101,,61.5,10.3,,,,,2021-01-06T06:32:53,2021-01-06T18:44:21,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,2,1/7/2021,27,16.9,21,26.5,16.9,21,12.9,63.07,0,,0,,,,,27.9,55.6,,41.2,10.2,,,,,2021-01-07T06:33:20,2021-01-07T18:44:46,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,2,1/8/2021,27,15.9,21,27.2,15.9,21,14.3,67.34,0,,0,,,,,27.5,56,,36.9,10.2,,,,,2021-01-08T06:33:47,2021-01-08T18:45:10,0.87,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,2,1/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-09T06:34:13,2021-01-09T18:45:34,0.92,,,,
Nairobi,2021,3,1/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-10T06:34:38,2021-01-10T18:45:57,0.96,,,,
Nairobi,2021,3,1/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-11T06:35:03,2021-01-11T18:46:20,0.99,,,,
Nairobi,2021,3,1/12/2021,21.1,19.1,19.8,21.1,19.1,19.9,15.1,74.41,0,,0,,,,,22.3,45,,90,10,,,,,2021-01-12T06:35:28,2021-01-12T18:46:42,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,63740099999
Nairobi,2021,3,1/13/2021,18.1,16.1,17.3,18.1,16.1,17.4,16.1,92.51,0,,0,,,,,9.4,30,,90,10,,,,,2021-01-13T06:35:51,2021-01-13T18:47:03,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,63740099999
Nairobi,2021,3,1/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-14T06:36:15,2021-01-14T18:47:23,0.01,,,,
Nairobi,2021,3,1/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-15T06:36:37,2021-01-15T18:47:43,0.03,,,,
Nairobi,2021,3,1/16/2021,27.1,20.6,24.7,26.6,20.6,24.6,12.1,46.99,0,,0,,,,,22.3,132.5,,40,26.3,,,,,2021-01-16T06:37:00,2021-01-16T18:48:03,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,63740099999
Nairobi,2021,4,1/17/2021,28.6,16.2,19.9,27.7,16.2,19.8,14.6,76.23,0,,0,,,,,20.5,90,,60,22,,,,,2021-01-17T06:37:21,2021-01-17T18:48:21,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,63740099999
Nairobi,2021,4,1/18/2021,27,18.1,20.8,26.7,18.1,20.8,14.4,69.2,0,,0,,,,,18.4,55,,89.8,10,,,,,2021-01-18T06:37:42,2021-01-18T18:48:39,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKNW,63742099999"
Nairobi,2021,4,1/19/2021,28.1,20.1,24,27.2,20.1,23.9,12,48.55,0,,0,,,,,20.5,40.8,,60.8,10,,,,,2021-01-19T06:38:02,2021-01-19T18:48:56,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,63740099999
Nairobi,2021,4,1/20/2021,28.7,15.1,20.7,27.5,15.1,20.5,11.1,58.04,0,,0,,,,,24.1,164.3,,21.4,17.1,,,,,2021-01-20T06:38:21,2021-01-20T18:49:12,0.23,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,63740099999
Nairobi,2021,4,1/21/2021,26,15.1,20.9,26,15.1,20.9,13.2,63.55,0,,0,,,,,32.4,93.7,,44.1,10.9,,,,,2021-01-21T06:38:40,2021-01-21T18:49:27,0.28,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
Nairobi,2021,4,1/22/2021,25.1,16.8,20,25.1,16.8,20,14.8,73.72,0,,0,,,,,42.9,90.5,,54.3,10.4,,,,,2021-01-22T06:38:58,2021-01-22T18:49:42,0.33,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,HKNW,63740099999,63742099999"
