name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Salvador, Brazil",9/8/2020,27.5,22.1,24.3,29.5,22.1,24.5,20.6,80.5,0,,0,,,,,10.3,140,1015.6,1.8,10.7,,,0,,2020-09-08T05:33:13,2020-09-08T17:30:09,0.66,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/9/2020,28,22.6,24.6,30.2,22.6,24.8,20.8,79.99,0,,0,,,,,6.6,97.6,1017.8,1.8,11,,,0,,2020-09-09T05:32:31,2020-09-09T17:30:09,0.71,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/10/2020,27.5,22.2,24.6,28.8,22.2,24.9,19.5,73.8,0,,0,,,,,9.4,133.5,1018.8,2.3,11.7,,,0,,2020-09-10T05:31:49,2020-09-10T17:30:10,0.76,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/11/2020,28,22.6,24.7,29.4,22.6,25,19.1,71.21,0,,0,,,,,6.8,120.7,1016.9,1.5,11.6,,,0,,2020-09-11T05:31:07,2020-09-11T17:30:10,0.81,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/12/2020,27.6,22.7,24.7,29.3,22.7,25,19.8,74.65,0,,0,,,,,8.2,126.6,1017.5,1.9,11.6,,,0,,2020-09-12T05:30:25,2020-09-12T17:30:10,0.86,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/13/2020,27.1,20.7,24,29.3,20.7,24.1,20.3,79.94,0,,0,,,,50,8.5,99.2,1018.5,1.9,11,,,0,,2020-09-13T05:29:42,2020-09-13T17:30:09,0.9,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/14/2020,27.2,22.1,24.4,29.6,22.1,24.8,21.1,82.03,0,,0,,,,,7.1,126.3,1018.9,1.8,10.5,,,0,,2020-09-14T05:29:00,2020-09-14T17:30:09,0.95,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/15/2020,26.1,23,24.3,26.1,23,24.3,21.1,82.27,0,,0,,,,,25.9,113,1017.9,4.8,10.7,,,0,,2020-09-15T05:28:17,2020-09-15T17:30:09,0.98,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/16/2020,27.6,21.7,24.4,29.4,21.7,24.7,19.7,75.99,0,,0,,,,,7.7,105.1,1017.1,1.4,10.6,,,0,,2020-09-16T05:27:34,2020-09-16T17:30:09,1,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/17/2020,27.1,22.1,24.5,28.2,22.1,24.6,17.8,66.81,0,,0,,,,,11,150.6,1016.3,2.1,11.7,,,0,,2020-09-17T05:26:52,2020-09-17T17:30:09,0,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
