ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Brazil,"DEN 1,2,3,4",2014,Out,35,0.123966782,0.074,210108,382,35,254.74,202034,638,514654
4,Brazil,"DEN 1,2,3,4",2014,Out,38,0.124034237,0.074,212465,389,38,261.38,202034,655,528080
4,Brazil,"DEN 1,2,3,4",2014,Out,40,0.123774107,0.074,213980,397,40,266.33,202034,666,538077
4,Brazil,"DEN 1,2,3,4",2014,Out,42,0.122927648,0.074,215473,403,42,271.39,202034,674,548290
4,Brazil,"DEN 1,2,3,4",2014,Out,43,0.121996403,0.073,216168,403,43,273.86,202034,675,553295
4,Brazil,"DEN 1,2,3,4",2014,Out,45,0.120215785,0.072,217595,405,45,278.74,202034,677,563154
4,Brazil,"DEN 1,2,3,4",2014,Out,47,0.119298698,0.071,219143,407,47,284.20,202034,685,574189
4,Brazil,"DEN 1,2,3,4",2014,Out,50,0.116805547,0.070,220417,409,50,291.12,202034,687,588157
4,Brazil,"DEN 1,2,3,4",2014,Out,52,0.116272772,0.069,220537,409,52,292.45,202034,687,590852
4,Brazil,"DEN 1,2,3,4",2019,Out,45,0.066241723,0.038,1254417,813,45,"1,039.75",208495,1436,2167818
4,Brazil,"DEN 1,2,3,4",2019,Out,27,0.064615815,0.038,1166877,736,27,935.27,208495,1260,1949987
4,Brazil,"DEN 1,2,3,4",2019,Out,29,0.065142329,0.038,1187638,751,29,955.69,208495,1298,1992560
4,Brazil,"DEN 1,2,3,4",2019,Out,34,0.066482973,0.038,1216839,776,34,988.36,208495,1370,2060678
4,Brazil,"DEN 1,2",2019,Out,3,0.090229217,0.038,30539,22,3,27.64,208495,52,57631
4,Brazil,"DEN 1,2",2019,Out,8,0.087735957,0.048,148002,126,8,126.28,208495,231,263290
4,Brazil,"DEN 1,2",2019,Out,10,0.083318279,0.043,210135,159,10,177.88,208495,309,370867
4,Brazil,"DEN 1,2",2019,Out,15,0.072234817,0.041,492594,344,15,403.04,208495,607,840315
4,Brazil,"DEN 1,2",2019,Out,17,0.068955715,0.042,645993,459,17,523.06,208495,752,1090555
4,Brazil,"DEN 1,2",2019,Out,22,0.064486277,0.039,1029848,658,22,818.89,208495,1101,1707340
4,Brazil,"DEN 1,2,3,4",2019,Out,46,0.066342499,0.038,1258482,820,46,"1,044.67",208495,1445,2178091
4,Brazil,"DEN 1,2,3,4",2019,Out,48,0.066376506,0.037,1268388,825,48,"1,055.70",208495,1461,2201080
4,Brazil,  ,2022,Out,2,0.037165839,0.016,10521,6,2,17.60,213993,14,37669
4,Brazil,  ,2022,Out,4,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,51,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,52,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,49,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,50,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,47,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,48,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,45,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,46,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,44,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,43,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,41,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,42,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,39,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,40,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,38,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,36,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,37,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,33,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,34,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,35,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,30,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,31,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,32,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,28,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,29,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,26,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,27,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,23,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,24,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,25,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,20,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,21,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,22,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,17,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,18,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,19,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,15,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,16,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,11,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,12,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,13,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,14,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,7,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,8,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,9,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,10,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,5,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,6,0.033504409,0.011,16342,7,4,30.68,213993,22,65663
4,Brazil,  ,2022,Out,1,0.067287785,0.031,5779,6,1,9.03,213993,13,19320
4,Brazil,  ,2022,Out,3,0.035247194,0.011,14089,6,3,25.19,213993,19,53905
4,Brazil,"DEN 1,2,3,4",2019,Out,36,0.066406774,0.038,1224283,781,36,998.16,208495,1382,2081113
4,Brazil,"DEN 1,2,3,4",2019,Out,41,0.066602882,0.038,1240739,803,41,"1,021.15",208495,1418,2129037
4,Brazil,"DEN 1,2,3,4",2019,Out,28,0.065014564,0.038,1178623,742,28,946.50,208495,1283,1973404
4,Brazil,"DEN 1,2,3,4",2019,Out,30,0.065103583,0.037,1195337,753,30,963.62,208495,1308,2009106
4,Brazil,"DEN 1,2,3,4",2019,Out,32,0.065909226,0.037,1207794,764,32,977.31,208495,1343,2037651
4,Brazil,"DEN 1,2,3,4",2019,Out,35,0.066489651,0.038,1220664,777,35,993.31,208495,1377,2070999
4,Brazil,"DEN 1,2",2019,Out,1,0.064383209,0.032,8018,5,1,7.45,208495,10,15532
4,Brazil,"DEN 1,2",2019,Out,2,0.086375677,0.035,18028,12,2,16.66,208495,30,34732
4,Brazil,"DEN 1,2",2019,Out,4,0.088482355,0.044,47229,38,4,41.74,208495,77,87023
4,Brazil,"DEN 1,2",2019,Out,6,0.090154298,0.049,91720,81,6,78.74,208495,148,164163
4,Brazil,"DEN 1,2",2019,Out,9,0.084711487,0.045,177330,141,9,150.61,208495,266,314007
4,Brazil,"DEN 1,2",2019,Out,11,0.081049019,0.041,251975,183,11,211.86,208495,358,441708
4,Brazil,"DEN 1,2",2019,Out,13,0.078217606,0.041,358412,257,13,297.40,208495,485,620065
4,Brazil,"DEN 1,2",2019,Out,16,0.070706881,0.042,564117,401,16,459.23,208495,677,957474
4,Brazil,"DEN 1,2",2019,Out,18,0.065990952,0.040,730291,495,18,588.71,208495,810,1227441
4,Brazil,"DEN 1,2",2019,Out,20,0.065256287,0.039,903332,588,20,720.29,208495,980,1501771
4,Brazil,"DEN 1,2",2019,Out,21,0.064482480,0.039,973574,632,21,774.31,208495,1041,1614392
4,Brazil,"DEN 1,2",2019,Out,23,0.064608702,0.038,1073251,683,23,853.71,208495,1150,1779946
4,Brazil,"DEN 1,2",2019,Out,25,0.064883582,0.038,1130375,720,25,902.58,208495,1221,1881832
4,Brazil,"DEN 1,2,3,4",2019,Out,37,0.066502427,0.037,1227942,784,37,"1,003.21",208495,1391,2091653
4,Brazil,"DEN 1,2,3,4",2019,Out,39,0.066577013,0.038,1234465,795,39,"1,012.18",208495,1405,2110338
4,Brazil,"DEN 1,2,3,4",2019,Out,40,0.066560999,0.038,1237682,800,40,"1,016.74",208495,1411,2119860
4,Brazil,"DEN 1,2,3,4",2019,Out,42,0.066494834,0.038,1243844,807,42,"1,025.69",208495,1422,2138512
4,Brazil,"DEN 1,2,3,4",2019,Out,44,0.066328704,0.038,1250417,811,44,"1,034.77",208495,1431,2157437
4,Brazil,"DEN 1,2,3,4",2019,Out,26,0.064788090,0.038,1151233,729,26,920.94,208495,1244,1920106
4,Brazil,"DEN 1,2,3,4",2019,Out,38,0.066660830,0.038,1231406,792,38,"1,008.03",208495,1401,2101684
4,Brazil,"DEN 1,2,3,4",2019,Out,43,0.066349431,0.038,1246953,808,43,"1,030.11",208495,1425,2147720
4,Brazil,"DEN 1,2,3,4",2019,Out,50,0.066238480,0.037,1281082,832,50,"1,068.76",208495,1476,2228312
4,Brazil,"DEN 1,2,3,4",2019,Out,52,0.066130919,0.037,1290861,840,52,"1,078.48",208495,1487,2248570
4,Brazil,"DEN 1,2,3,4",2019,Out,31,0.065466529,0.037,1202181,758,31,970.74,208495,1325,2023935
4,Brazil,"DEN 1,2,3,4",2019,Out,33,0.066206361,0.038,1212533,770,33,983.07,208495,1357,2049652
4,Brazil,"DEN 1,2",2019,Out,5,0.092258454,0.048,67531,59,5,58.75,208495,113,122482
4,Brazil,"DEN 1,2",2019,Out,7,0.093045224,0.050,119065,105,7,101.55,208495,197,211725
4,Brazil,"DEN 1,2",2019,Out,12,0.079914758,0.042,302116,219,12,252.07,208495,420,525560
4,Brazil,"DEN 1,2",2019,Out,14,0.076136716,0.042,422567,306,14,348.37,208495,553,726325
4,Brazil,"DEN 1,2",2019,Out,19,0.065060336,0.040,819323,541,19,656.85,208495,891,1369498
4,Brazil,"DEN 1,2",2019,Out,24,0.064253925,0.039,1106011,708,24,881.57,208495,1181,1838020
4,Brazil,"DEN 1,2,3,4",2019,Out,47,0.066315814,0.038,1263208,823,47,"1,050.16",208495,1452,2189523
4,Brazil,"DEN 1,2,3,4",2019,Out,49,0.066255853,0.037,1274432,828,49,"1,061.97",208495,1467,2214144
4,Brazil,"DEN 1,2,3,4",2019,Out,51,0.066177704,0.037,1287151,836,51,"1,074.82",208495,1483,2240936
4,Brazil,"DEN 1,2,3,4",2016,Out,38,0.055588237,0.040,312421,584,38,692.73,209568,807,1451746
4,Brazil,"DEN 1,2,3,4",2016,Out,40,0.055493476,0.040,312861,586,40,694.78,209568,808,1456027
4,Brazil,"DEN 1,2,3,4",2016,Out,45,0.055129797,0.040,314295,586,45,700.22,209568,809,1467446
4,Brazil,"DEN 1,2,3,4",2016,Out,46,0.055129797,0.040,314295,586,45,700.22,209568,809,1467446
4,Brazil,"DEN 1,2,3,4",2016,Out,47,0.055129797,0.040,314295,586,45,700.22,209568,809,1467446
4,Brazil,"DEN 1,2,3,4",2016,Out,48,0.055129797,0.040,314295,586,45,700.22,209568,809,1467446
4,Brazil,"DEN 1,2,3,4",2016,Out,52,0.057379535,0.043,316687,642,52,716.01,209568,861,1500535
4,Brazil,"DEN 1,2,3,4",2016,Out,26,0.055257575,0.040,308876,571,26,677.02,209568,784,1418810
4,Brazil,"DEN 1,2,3,4",2016,Out,31,0.055360691,0.040,310798,580,31,685.24,209568,795,1436037
